Un_random	5900358	10108
5_random	357350	10099
19	61342430	10091
17	95272651	10088
18	90772031	10090
M	16299	10107
15	103494974	10085
16	98319150	10086
13	120284312	10082
14	125194864	10084
11	121843856	10080
12	121257530	10081
17_random	628739	10089
9_random	449403	10106
7_random	362490	10102
Y	15902555	10111
X	166650296	10109
X_random	1785075	10110
4_random	160594	10097
16_random	3994	10087
3	159599783	10094
2	181748087	10093
10	129993255	10079
1	197195432	10078
7	152524553	10101
6	149517037	10100
5	152537259	10098
Y_random	58682461	10112
4	155630120	10096
8_random	849593	10104
13_random	400311	10083
3_random	41899	10095
1_random	1231697	10092
9	124076172	10105
8	131738871	10103
